sample-id	absolute-filepath	direction
SRR32507895	/users/raflybro/domain-specific-computation-research/src/extract/SRR32507895.fastq	forward
SRR32507896	/users/raflybro/domain-specific-computation-research/src/extract/SRR32507896.fastq	forward
