sample-id	treatment_group	batch	seq_depth_category	size_category	length_category	sample-name	library-name	bioproject	biosample	library-strategy	library-source	library-layout	platform	model	spots	bases	avg-length	size-mb	source
SRR32507920	Group_D	Batch_1	High	Medium	Short_251	a30	1D_S28_L001_R1_011	PRJNA1229183	SAMN47125279	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	116114	29144614	251	18	Rhizosphere
SRR32507921	Group_C	Batch_1	Medium	Medium	Short_251	a29	1C_S19_L001_R1_001	PRJNA1229183	SAMN47125278	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	78584	19724584	251	12	Rhizosphere
SRR32507922	Group_A	Batch_1	High	Medium	Short_251	a28	1A_S1_L001_R1_001	PRJNA1229183	SAMN47125277	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	102124	25633124	251	15	Rhizosphere
SRR32507923	High_Numbers	Range_30s	Medium	Medium	Long_301	a27	33_S72_L001_R1_001	PRJNA1229183	SAMN47125276	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	84691	25491991	301	14	Rhizosphere
SRR32507924	High_Numbers	Range_30s	Low	Small	Long_301	a26	32_S71_L001_R1_001	PRJNA1229183	SAMN47125275	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	23399	7043099	301	4	Rhizosphere
SRR32507925	High_Numbers	Range_30s	Medium	Small	Long_301	a25	31_S70_L001_R1_001	PRJNA1229183	SAMN47125274	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	61767	18591867	301	10	Rhizosphere
SRR32507926	Mid_Numbers	Range_20s	Medium	Medium	Long_301	a24	24_S63_L001_R1_001	PRJNA1229183	SAMN47125273	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	76544	23039744	301	13	Wastewater
SRR32507927	Low_Numbers	Range_10s	High	Large	Long_301	a10	16_S55_L001_R1_001	PRJNA1229183	SAMN47125259	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	187284	56372484	301	29	Wastewater
SRR32507928	High_Numbers	Range_30s	Low	Small	Long_301	a9	30_S69_L001_R1_001	PRJNA1229183	SAMN47125258	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	18852	5674452	301	3	Wastewater
SRR32507929	Mid_Numbers	Range_20s	Low	Small	Long_301	a8	29_S68_L001_R1_001	PRJNA1229183	SAMN47125257	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	29591	8906891	301	5	Wastewater
SRR32507930	Mid_Numbers	Range_20s	Low	Small	Long_301	a7	28_S67_L001_R1_001	PRJNA1229183	SAMN47125256	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	22223	6689123	301	4	Wastewater
SRR32507931	Group_D	Batch_8	Medium	Medium	Short_251	a54	8D_S35_L001_R1_001	PRJNA1229183	SAMN47125303	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	77093	19350343	251	12	Wastewater
SRR32507932	Group_C	Batch_8	High	Medium	Short_251	a53	8C_S26_L001_R1_001	PRJNA1229183	SAMN47125302	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	128105	32154355	251	19	Wastewater
SRR32507933	Mid_Numbers	Range_20s	Medium	Small	Long_301	a23	23_S62_L001_R1_001	PRJNA1229183	SAMN47125272	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	54067	16274167	301	9	Wastewater
SRR32507934	Mid_Numbers	Range_20s	Medium	Medium	Long_301	a22	22_S61_L001_R1_001	PRJNA1229183	SAMN47125271	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	72889	21939589	301	11	Wastewater
SRR32507935	Low_Numbers	Range_10s	High	Medium	Long_301	a21	15_S54_L001_R1_001	PRJNA1229183	SAMN47125270	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	111238	33482638	301	18	Wastewater
SRR32507936	Low_Numbers	Range_10s	High	Very_Large	Long_301	a3	12_S51_L001_R1_001	PRJNA1229183	SAMN47125252	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	193677	58296777	301	31	Wastewater
SRR32507937	Low_Numbers	Range_10s	Very_High	Very_Large	Long_301	a20	14_S53_L001_R1_001	PRJNA1229183	SAMN47125269	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	244638	73636038	301	40	Wastewater
SRR32507938	Low_Numbers	Range_10s	Low	Small	Long_301	a19	13_S52_L001_R1_001	PRJNA1229183	SAMN47125268	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	27854	8384054	301	5	Wastewater
