pathway	SRR32507895	SRR32507896	SRR32507898	SRR32507899	SRR32507900	SRR32507901	SRR32507902	SRR32507903	SRR32507904	SRR32507905	SRR32507906	SRR32507907	SRR32507909	SRR32507910	SRR32507911	SRR32507912	SRR32507913	SRR32507914	SRR32507915	SRR32507916	SRR32507917	SRR32507918	SRR32507920	SRR32507921	SRR32507922	SRR32507931	SRR32507932
ARGDEG-IV-PWY	716.6637257159047	623.5842098719428	642.7194657529686	395.4896841312997	605.0475164371993	5500.551628915965	927.402500746629	957.284573609836	3521.5191897261766	587.4301933941239	1534.1444668804309	415.9918089143586	1189.6880252373435	466.70856839173115	7901.443296525449	704.3555558035109	834.855098406133	5673.663679875645	789.5578347301334	1163.6609274219102	35.92359518640944	865.7499800901868	671.4353706860943	3552.4790472221757	386.39700221332004	529.8494043483648	5398.054179102764
ARGDEG-PWY	1212.5490314788926	0.0	0.0	1457.0944422783405	1444.400803427166	1883.3321187654165	640.1439031139097	557.3194176346782	0.0	1458.07924648142	0.0	0.0	2045.0268623873405	699.3798647564034	4.059295480752845	238.64918591533012	205.7979916078495	853.6946066986153	684.0308342020861	593.8216039580037	214.23153086717102	2407.8437344339286	339.46667893479594	0.0	0.0	0.0	604.9060392765075
ARGININE-SYN4-PWY	33543.15228642086	36621.44369411262	39771.32882517729	25310.17226823206	63242.428158038034	41098.22068381434	47618.417596836975	48670.03402511717	47146.894939798905	53474.17785288089	62373.34434868783	31352.82831865182	32516.504112860206	46280.10785938627	51761.489378797494	42093.17288224242	35108.58979906858	41092.78998337233	32397.169964529407	60367.84675041322	31825.494609290345	13141.206203461876	51020.30410583798	28039.409127066054	37554.44846022699	37042.85475627756	43588.03017101772
ARGSYN-PWY	48150.97437691495	59553.45585932559	66542.06409749614	41172.99555393201	93629.14338097128	89081.23943977882	79506.66137107735	66626.05534493233	85207.12307418496	75385.48698168536	97046.43420866806	51675.130225347886	53963.59929666406	68953.9867811471	110959.3375155309	68604.48815420827	50901.64376286544	92332.14543292648	44031.23728066676	99897.99895978207	49208.85181591644	26308.48726724881	72877.73641188115	55295.69890032857	64531.63292669427	52084.57526527632	87799.04857597078
ARGSYNBSUB-PWY	53266.744707298836	61963.17146377841	74392.59175368321	44667.455662152744	103271.65901993657	99232.63677982864	88217.9546078855	73518.04973538921	95113.07617766311	82878.01784472028	100756.69940912935	57661.6867620442	58363.312119576905	75975.63879760663	123680.75028639648	76192.28783302498	56326.156214286006	102857.761161374	48428.14363604849	102350.53379472869	54100.102552734344	28705.165267512562	80304.9019982843	61512.3924291751	71528.47002901256	57713.55491693396	97836.15383378185
ARO-PWY	52973.64728348938	65362.492570050155	72644.95021663139	48005.848647151506	106225.6514525339	96623.04323861402	92028.88709183696	75036.58291785253	92832.16161034143	83027.71013390998	105715.44291655351	58242.681874647395	64036.0554409616	78655.0024846774	122315.78983820937	79532.38760702588	57602.26581587322	97440.61370967634	50053.364851099206	108240.7953153693	55888.4604857332	30736.2225176368	86167.41627714476	60752.77481995313	73913.13308150924	59447.659425480895	95564.54557155517
ASPASN-PWY	938.044600167149	772.1477293427828	748.4337143895998	4889.980742430232	3270.1338655512563	10074.226070801038	2804.823239373891	6404.956630289581	324.7783673325457	2491.6774026826633	1556.7441827014572	488.1407751729552	4103.200790711516	3158.1692361498285	12329.883814030267	1427.447311137722	5263.89970601483	1075.7213320170858	916.988985763342	1642.063087115366	47.17867355905672	2786.847682080481	2744.510870691	6943.165558954946	2469.01320308922	5170.395896106204	379.118740374308
AST-PWY	4913.983091313564	3314.4081230286224	4497.314330451106	4344.606381485632	5965.844623011341	17983.24423544016	6990.745103563575	4868.138240711881	11440.030749303676	8017.662161605833	7030.1244663122925	2889.7624968359637	6963.664821782286	4308.869886963396	23463.30750763683	5767.278627342815	4102.841530955535	14556.465979970244	4612.63464698292	6244.233011254286	4189.497780583984	4476.936272038027	4010.6941809666	10586.353853497692	6271.684756159583	3959.5611411823043	14045.934307993235
BRANCHED-CHAIN-AA-SYN-PWY	53720.1354176206	69662.04810490125	76824.63117861845	52905.768249373534	117120.25989520257	101071.35748377658	99191.81771010728	80348.21237668177	97735.23148116212	84552.65173099146	113559.93050753593	61949.66999424668	72595.9158448382	88640.91612023558	118527.12585952779	86827.34326155188	60785.15177202076	102302.28143495596	49425.176668172324	116516.61236321865	58517.29919792646	32342.668889712648	94170.65393242992	61441.43075688934	79894.06016765788	61990.10344502243	101810.328403526
CALVIN-PWY	54192.72037152325	64629.777048721815	78367.31398614198	49394.6563090977	114104.53477739549	97489.0199237939	95473.38765823432	81155.11144884293	95144.96990773914	82998.5520176162	105958.30483308744	60853.08896298976	66799.96654446679	84428.39957074069	125423.47037010506	84084.2441755414	64249.30790614109	96413.12092068611	49599.28640256403	104503.77169533714	57362.99372397666	33717.100929184504	91307.72452676829	62667.01931905977	77066.39376777364	67198.95933510654	95032.7874527175
CARNMET-PWY	0.0	233.1324068340559	606.4249907635872	513.3465702607324	131.18510225698603	0.0	940.5997550885729	0.0	0.0	233.96594764500082	508.4900976570732	406.68967855327554	906.4695902697545	188.09560294129892	312.2255608898628	676.5037132332181	131.1652069686083	213.2546493196645	45.74806009481891	471.1545120810013	745.5843277856017	206.72094937829306	537.2203069440164	11.988221293044719	441.29884211228466	205.09096546140873	13.988862751496203
CATECHOL-ORTHO-CLEAVAGE-PWY	2616.526793384732	2875.2468514344555	1460.5331719387534	3099.596938895757	2880.921661202004	6334.914844667183	3879.9568401691927	3394.398587727314	6042.961670815491	4943.15995578493	5736.633949063321	2927.511028541949	4256.103915024302	3615.127403383698	10060.462537887934	3483.8829374659854	1895.8623182784165	7544.960189693031	2322.4045578320543	6374.360892870907	4154.525644246595	2235.033668647083	3117.105327158854	3769.6470781390626	4186.414864669478	2125.720506145843	7878.4636776086745
CHLOROPHYLL-SYN	8748.071193485477	14537.697306823042	13745.5616510636	10525.45912015055	22692.114583212293	7677.530319110956	14143.916586935055	9340.83672764761	16526.385850775576	13854.921730031667	22940.272278494074	10576.690366198713	14345.337206863147	16597.88658754444	10698.747100089098	11044.809502849437	6643.647094681998	13031.892131374882	9241.65758010205	23316.590851716926	10655.524682742891	6470.808393211459	16117.202200350976	4788.4858650493725	8830.843689563453	5994.3114715075735	11155.107444750754
CITRULBIO-PWY	29972.0031762512	35503.13497481872	39027.69102349577	27288.478692301127	58130.608568890595	53628.23213433924	50785.22414261789	38205.892836102736	54505.05302471777	46978.94653683629	56487.56049355673	30439.200868181	37864.08150029185	43343.52776633513	65595.42733898247	43636.048865243276	29119.423243368365	58936.45941413047	27663.15874751757	59231.79955601977	31263.168408971676	20033.666674324697	47087.76942937883	34000.78067745606	39822.387760376914	28576.007959696366	55672.12365133258
